Kalenderwoche;Mitte (West);Norden (West);Osten;Sueden;Mittel;Max
2019-W52;4928;7020;5382;6786;6029.0;Norden (West)
2020-W09;9196;8911;7361;8202;8417.5;Mitte (West)
2020-W52;2245;2131;1929;2426;2182.75;Sueden
2021-W09;2426;1568;2010;1785;1947.25;Mitte (West)
2021-W52;2681;3678;2782;2761;2975.5;Norden (West)
2022-W09;5030;4990;5109;5663;5198.0;Sueden
2022-W52;7157;6974;7167;8574;7468.0;Sueden
2023-W09;9295;8266;9347;7110;8504.5;Osten
2023-W52;7563;4862;7959;6452;6709.0;Osten
2024-W09;5894;6512;5963;6720;6272.25;Sueden
2024-W52;7207;7424;7980;7879;7622.5;Osten
2025-W09;6089;8699;8361;7712;7715.25;Norden (West)
