;SaisonWoche;2019/20_Inzidenz;2020/21_Inzidenz;2021/22_Inzidenz;2022/23_Inzidenz;2023/24_Inzidenz;2024/25_Inzidenz;2025/26_Inzidenz;2019/20_Meldungen;2020/21_Meldungen;2021/22_Meldungen;2022/23_Meldungen;2023/24_Meldungen;2024/25_Meldungen;2025/26_Meldungen
0;1;7783.0;5212.0;8252.0;10010.0;9701.0;10865.0;11532.0;747.0;1313.0;1354.0;1073.0;1167.0;1478.0;1007.0
1;2;7502.0;5131.0;7748.0;7102.0;8741.0;9605.0;;745.0;1314.0;1344.0;1102.0;1176.0;1505.0;
2;3;4901.0;3402.0;7533.0;7223.0;8985.0;8531.0;;744.0;1325.0;1340.0;1094.0;1200.0;1476.0;
3;4;6954.0;4179.0;8181.0;6530.0;10281.0;6777.0;;745.0;1374.0;1321.0;1109.0;1210.0;1483.0;
4;5;7642.0;3869.0;6972.0;6907.0;8363.0;7123.0;;764.0;1366.0;1324.0;1115.0;1219.0;1521.0;
5;6;6727.0;3023.0;7282.0;8221.0;8327.0;8022.0;;758.0;1376.0;1320.0;1143.0;1235.0;1524.0;
6;7;7248.0;3232.0;4643.0;8150.0;8408.0;8140.0;;748.0;1392.0;1311.0;1151.0;1243.0;1521.0;
7;8;6319.0;2052.0;5065.0;10745.0;10908.0;8510.0;;752.0;1409.0;1311.0;1167.0;1245.0;1548.0;
8;9;7296.0;3254.0;5100.0;12380.0;9245.0;8362.0;;751.0;1406.0;1301.0;1183.0;1250.0;1521.0;
9;10;8003.0;3382.0;3387.0;13365.0;9913.0;9976.0;;756.0;1415.0;1315.0;1177.0;1257.0;1501.0;
10;11;6339.0;3302.0;4375.0;13543.0;11597.0;8479.0;;769.0;1536.0;1313.0;1200.0;1277.0;1519.0;
11;12;5604.0;3390.0;4391.0;9699.0;8952.0;9142.0;;770.0;1540.0;1334.0;1220.0;1280.0;1529.0;
12;13;6138.0;2733.0;2769.0;9411.0;6876.0;8028.0;;793.0;1561.0;1348.0;1236.0;1301.0;1564.0;
13;14;7265.0;2496.0;2379.0;4876.0;4999.0;7410.0;;867.0;1590.0;1376.0;1303.0;1411.0;1662.0;
14;15;4258.0;1257.0;3423.0;4234.0;5031.0;6060.0;;867.0;1586.0;1370.0;1306.0;1412.0;1702.0;
15;16;4943.0;1714.0;5040.0;5853.0;6279.0;7604.0;;878.0;1580.0;1362.0;1306.0;1436.0;1706.0;
16;17;7854.0;1487.0;5934.0;8818.0;6907.0;9277.0;;876.0;1570.0;1345.0;1261.0;1441.0;1743.0;
17;18;7470.0;1200.0;3925.0;7960.0;7273.0;10983.0;;911.0;1578.0;1329.0;1235.0;1423.0;1735.0;
18;19;5826.0;2346.0;4503.0;9389.0;7858.0;9507.0;;926.0;1572.0;1311.0;1219.0;1416.0;1747.0;
19;20;8145.0;1556.0;4729.0;9963.0;7549.0;10933.0;;943.0;1557.0;1305.0;1221.0;1426.0;1739.0;
20;21;7870.0;1454.0;3945.0;10656.0;6168.0;8979.0;;967.0;1559.0;1280.0;1241.0;1429.0;1710.0;
21;22;9099.0;1683.0;5872.0;10504.0;7372.0;8392.0;;990.0;1539.0;1293.0;1236.0;1413.0;1707.0;
22;23;7947.0;2009.0;6314.0;8120.0;7309.0;8290.0;;1021.0;1528.0;1291.0;1241.0;1412.0;1697.0;
23;24;9373.0;2050.0;6548.0;7381.0;7675.0;6727.0;;1043.0;1531.0;1282.0;1255.0;1403.0;1680.0;
24;25;5445.0;1374.0;5517.0;8200.0;8296.0;6260.0;;1120.0;1502.0;1273.0;1239.0;1407.0;1673.0;
25;26;2722.0;2042.0;5714.0;6467.0;6403.0;6204.0;;1136.0;1500.0;1276.0;1244.0;1410.0;1655.0;
26;27;3339.0;1262.0;4776.0;7997.0;5019.0;7391.0;;1185.0;1489.0;1243.0;1247.0;1383.0;1655.0;
27;28;1471.0;2029.0;5778.0;5446.0;4613.0;5937.0;;1241.0;1477.0;1225.0;1236.0;1367.0;1626.0;
28;29;1851.0;1304.0;4635.0;5010.0;6669.0;5257.0;;1350.0;1485.0;1233.0;1222.0;1368.0;1633.0;
